Player_Name,Age,Position,Continent,Minutes_Played,Goals,Assists,Defensive_Impact,Injury_Days,Market_Value_M,Contract_Years_Left,Coach_Trust_Score,Saves,Contract_Renewed
Player_1,27,Forward,Europe,2117,15,9.0,36,13.0,41.7,1,86,0,1
Player_2,24,Forward,South America,30,15,3.0,33,22.0,1.0,1,20,0,0
Player_3,23,Goalkeeper,Africa,1592,0,0.0,74,,1.0,2,66,83,1
Player_4,26,Goalkeeper,Asia,1345,0,0.0,61,20.0,1.0,1,50,71,1
Player_5,24,Forward,Asia,1838,23,4.0,24,34.0,1.0,2,48,0,0
Player_6,18,Goalkeeper,Europe,1403,0,0.0,72,32.0,,2,43,80,0
Player_7,20,Midfielder,Asia,1768,4,11.0,75,0.0,22.9,1,39,0,1
Player_8,23,Defender,Africa,2567,4,3.0,57,11.0,23.0,1,89,0,1
Player_9,24,Forward,Africa,2088,5,1.0,52,45.0,16.9,1,90,0,1
Player_10,27,Midfielder,Asia,1812,7,13.0,69,,1.0,0,57,0,1
Player_11,26,Defender,Europe,2020,2,0.0,66,25.0,40.2,2,67,0,1
Player_12,22,Goalkeeper,Africa,1898,0,0.0,83,24.0,10.1,1,52,92,1
Player_13,29,Goalkeeper,South America,1778,0,0.0,65,10.0,,1,49,97,1
Player_14,26,Forward,Africa,2059,3,3.0,34,1.0,15.6,3,81,0,1
Player_15,33,Goalkeeper,Asia,2304,0,0.0,73,16.0,1.0,0,74,91,1
Player_16,35,Defender,Asia,2084,2,1.0,52,,29.3,3,86,0,1
Player_17,22,Defender,Africa,3041,0,3.0,95,0.0,9.5,0,76,0,1
Player_18,23,Midfielder,Africa,1269,6,2.0,77,0.0,41.2,1,33,0,0
Player_19,24,Forward,Asia,2688,4,5.0,59,0.0,20.8,0,78,0,1
Player_20,29,Defender,Africa,1457,0,3.0,74,23.0,23.2,0,34,0,1
Player_21,26,Midfielder,Africa,2375,3,14.0,77,0.0,27.8,1,60,0,1
Player_22,29,Midfielder,Africa,2895,2,10.0,76,34.0,46.5,3,71,0,1
Player_23,22,Goalkeeper,Europe,1666,0,0.0,57,16.0,23.1,0,49,114,1
Player_24,26,Midfielder,Europe,3072,4,17.0,79,0.0,1.9,0,82,0,1
Player_25,25,Forward,Africa,2628,14,4.0,27,0.0,11.3,3,87,0,1
Player_26,26,Goalkeeper,Africa,1452,0,0.0,72,25.0,4.7,3,47,91,0
Player_27,21,Goalkeeper,South America,2414,0,0.0,78,39.0,33.8,0,54,61,1
Player_28,28,Goalkeeper,Asia,2508,0,0.0,77,95.0,26.6,0,92,118,1
Player_29,28,Goalkeeper,Africa,2010,0,0.0,81,2.0,14.4,1,67,92,1
Player_30,35,Forward,Europe,1079,16,0.0,32,39.0,19.0,0,28,0,0
Player_31,23,Midfielder,South America,2607,3,7.0,70,4.0,50.2,1,84,0,1
Player_32,18,Forward,South America,2311,8,7.0,28,15.0,25.6,3,87,0,1
Player_33,21,Goalkeeper,Africa,1999,0,0.0,62,4.0,44.5,1,51,52,1
Player_34,29,Defender,Europe,3400,4,0.0,62,43.0,7.4,3,81,0,1
Player_35,29,Forward,Africa,1643,11,0.0,24,12.0,1.0,0,69,0,1
Player_36,20,Midfielder,Europe,1935,6,12.0,48,41.0,18.2,3,30,0,0
Player_37,27,Defender,Africa,2319,0,2.0,64,20.0,27.9,2,98,0,1
Player_38,21,Defender,South America,3400,0,,78,23.0,8.7,0,71,0,1
Player_39,24,Forward,Europe,1846,17,6.0,29,35.0,22.6,2,57,0,0
Player_40,28,Midfielder,Asia,1702,3,9.0,79,17.0,19.8,3,64,0,0
Player_41,23,Forward,Asia,2528,10,4.0,56,34.0,30.2,0,94,0,1
Player_42,26,Forward,Africa,2609,10,5.0,38,19.0,26.9,1,62,0,1
Player_43,34,Defender,South America,1596,0,4.0,81,30.0,27.4,0,44,0,1
Player_44,22,Forward,Asia,2245,7,7.0,37,1.0,13.2,2,81,0,1
Player_45,23,Forward,Europe,1706,13,5.0,32,8.0,21.5,1,23,0,0
Player_46,20,Midfielder,South America,1768,5,8.0,92,35.0,15.6,2,44,0,0
Player_47,21,Forward,Asia,2188,10,5.0,27,28.0,41.0,1,73,0,1
Player_48,27,Goalkeeper,Africa,2614,0,0.0,63,22.0,18.2,1,76,66,1
Player_49,26,Goalkeeper,Europe,2498,0,0.0,91,37.0,50.3,2,63,116,1
Player_50,26,Midfielder,Asia,3400,2,3.0,61,,10.1,0,63,0,1
Player_51,26,Midfielder,South America,2405,13,10.0,61,0.0,25.4,1,55,0,1
Player_52,33,Defender,Europe,2907,1,0.0,90,15.0,36.6,2,51,0,1
Player_53,23,Defender,Europe,2203,2,1.0,79,0.0,15.9,2,76,0,1
Player_54,28,Forward,South America,2626,5,0.0,59,24.0,6.8,2,98,0,1
Player_55,26,Midfielder,Asia,3500,10,7.0,95,53.0,14.3,0,89,0,1
Player_56,28,Midfielder,Asia,3021,2,9.0,85,0.0,1.0,2,44,0,1
Player_57,24,Defender,Asia,2630,5,2.0,94,0.0,1.0,2,74,0,1
Player_58,27,Goalkeeper,South America,2180,0,0.0,38,16.0,1.0,1,85,100,1
Player_59,22,Forward,Asia,1891,5,4.0,54,0.0,25.6,3,37,0,0
Player_60,22,Goalkeeper,South America,2135,0,0.0,54,6.0,1.0,3,100,91,1
Player_61,23,Forward,Asia,2328,11,4.0,49,33.0,10.0,2,66,0,1
Player_62,24,Defender,Africa,818,0,,94,13.0,26.6,1,49,0,0
Player_63,38,Forward,South America,2871,11,2.0,20,22.0,6.7,1,53,0,1
Player_64,23,Midfielder,Europe,1551,12,10.0,69,47.0,19.2,0,32,0,0
Player_65,32,Goalkeeper,Europe,2523,0,0.0,54,14.0,4.9,0,54,117,1
Player_66,33,Defender,South America,1360,3,0.0,62,6.0,5.0,3,45,0,0
Player_67,22,Goalkeeper,South America,2362,0,0.0,69,13.0,4.4,1,66,112,1
Player_68,28,Goalkeeper,Africa,1613,0,0.0,71,33.0,1.0,0,53,70,1
Player_69,28,Forward,Africa,1742,1,0.0,40,23.0,4.4,3,54,0,0
Player_70,19,Goalkeeper,Asia,2160,0,0.0,51,4.0,18.7,3,62,78,1
Player_71,30,Forward,South America,1853,17,1.0,47,46.0,1.0,2,33,0,0
Player_72,28,Goalkeeper,Africa,2078,0,0.0,75,,19.3,2,72,125,1
Player_73,27,Goalkeeper,Africa,2402,0,0.0,63,8.0,11.5,1,80,77,1
Player_74,27,Forward,Europe,3400,17,4.0,58,9.0,1.0,1,59,0,1
Player_75,18,Defender,Africa,1989,2,5.0,74,13.0,30.4,2,20,0,0
Player_76,26,Goalkeeper,Asia,2662,0,,47,40.0,23.1,3,68,108,1
